EV	DWSIM.Interfaces.Enums.UnitOfMeasure	mass	33
EV	DWSIM.Interfaces.Enums.UnitOfMeasure	mass_conc	34
EV	DWSIM.Interfaces.Enums.UnitOfMeasure	massflow	35
EV	DWSIM.Interfaces.Enums.UnitOfMeasure	massfraction	36
EV	DWSIM.Interfaces.Enums.UnitOfMeasure	mediumresistance	37
EV	DWSIM.Interfaces.Enums.UnitOfMeasure	meltingTemperature	38
EV	DWSIM.Interfaces.Enums.UnitOfMeasure	molar_conc	39
EV	DWSIM.Interfaces.Enums.UnitOfMeasure	molar_enthalpy	40
EV	DWSIM.Interfaces.Enums.UnitOfMeasure	molar_entropy	41
EV	DWSIM.Interfaces.Enums.UnitOfMeasure	molar_volume	42
EV	DWSIM.Interfaces.Enums.UnitOfMeasure	molarflow	43
EV	DWSIM.Interfaces.Enums.UnitOfMeasure	molarfraction	44
EV	DWSIM.Interfaces.Enums.UnitOfMeasure	molecularWeight	45
EV	DWSIM.Interfaces.Enums.UnitOfMeasure	pressure	46
EV	DWSIM.Interfaces.Enums.UnitOfMeasure	reac_rate	47
EV	DWSIM.Interfaces.Enums.UnitOfMeasure	reac_rate_heterog	48
EV	DWSIM.Interfaces.Enums.UnitOfMeasure	spec_vol	49
EV	DWSIM.Interfaces.Enums.UnitOfMeasure	speedOfSound	50
EV	DWSIM.Interfaces.Enums.UnitOfMeasure	surfaceTension	51
EV	DWSIM.Interfaces.Enums.UnitOfMeasure	temperature	52
EV	DWSIM.Interfaces.Enums.UnitOfMeasure	thermalConductivity	53
EV	DWSIM.Interfaces.Enums.UnitOfMeasure	thermalConductivityOfLiquid	54
EV	DWSIM.Interfaces.Enums.UnitOfMeasure	thermalConductivityOfVapor	55
EV	DWSIM.Interfaces.Enums.UnitOfMeasure	thickness	56
EV	DWSIM.Interfaces.Enums.UnitOfMeasure	time	57
EV	DWSIM.Interfaces.Enums.UnitOfMeasure	vaporPressure	58
EV	DWSIM.Interfaces.Enums.UnitOfMeasure	velocity	59
EV	DWSIM.Interfaces.Enums.UnitOfMeasure	viscosity	60
EV	DWSIM.Interfaces.Enums.UnitOfMeasure	viscosityOfLiquid	61
EV	DWSIM.Interfaces.Enums.UnitOfMeasure	viscosityOfVapor	62
EV	DWSIM.Interfaces.Enums.UnitOfMeasure	volume	63
EV	DWSIM.Interfaces.Enums.UnitOfMeasure	volumetricFlow	64
EV	DWSIM.Interfaces.Enums.UnitOfMeasure	diffusivity	65
EV	DWSIM.Interfaces.Enums.UnitOfMeasure	none	66
EV	DWSIM.Interfaces.Enums.UnitOfMeasure	conductance	67
EV	DWSIM.Interfaces.Enums.UnitOfMeasure	heat	68
EV	DWSIM.Interfaces.Enums.UnitOfMeasure	mole	69
EV	DWSIM.Interfaces.Enums.UnitOfMeasure	emission_factor	70
EV	DWSIM.Interfaces.Enums.UnitOfMeasure	specificpower	71
EV	DWSIM.Interfaces.Enums.OptimizationMethod	Limited_Memory_BGFS	0
EV	DWSIM.Interfaces.Enums.OptimizationMethod	Truncated_Newton	1
EV	DWSIM.Interfaces.Enums.OptimizationMethod	Simplex	2
EV	DWSIM.Interfaces.Enums.OptimizationMethod	IPOPT	3
EV	DWSIM.Interfaces.Enums.AccelMethod	None	0
EV	DWSIM.Interfaces.Enums.AccelMethod	Wegstein	1
EV	DWSIM.Interfaces.Enums.AccelMethod	Dominant_Eigenvalue	2
EV	DWSIM.Interfaces.Enums.AccelMethod	GlobalBroyden	3
EV	DWSIM.Interfaces.Enums.FlashMethod	Default_Algorithm	0
EV	DWSIM.Interfaces.Enums.FlashMethod	Nested_Loops_VLE	1
EV	DWSIM.Interfaces.Enums.FlashMethod	Nested_Loops_VLLE	2
EV	DWSIM.Interfaces.Enums.FlashMethod	Nested_Loops_Immiscible_VLLE	3
EV	DWSIM.Interfaces.Enums.FlashMethod	Inside_Out_VLE	4
EV	DWSIM.Interfaces.Enums.FlashMethod	Inside_Out_VLLE	5
EV	DWSIM.Interfaces.Enums.FlashMethod	Gibbs_Minimization_VLE	6
EV	DWSIM.Interfaces.Enums.FlashMethod	Gibbs_Minimization_VLLE	7
EV	DWSIM.Interfaces.Enums.FlashMethod	Simple_LLE	8
EV	DWSIM.Interfaces.Enums.FlashMethod	Nested_Loops_SLE_Eutectic	9
EV	DWSIM.Interfaces.Enums.FlashMethod	Nested_Loops_SLE_SolidSolution	10
EV	DWSIM.Interfaces.Enums.FlashMethod	BlackOil	11
EV	DWSIM.Interfaces.Enums.FlashMethod	Electrolyte	12
EV	DWSIM.Interfaces.Enums.FlashMethod	SeaWater	13
EV	DWSIM.Interfaces.Enums.FlashMethod	SourWater	14
EV	DWSIM.Interfaces.Enums.FlashMethod	CAPE_OPEN_Equilibrium_Server	15
EV	DWSIM.Interfaces.Enums.FlashMethod	SteamTables	16
EV	DWSIM.Interfaces.Enums.FlashMethod	Nested_Loops_SVLLE	17
EV	DWSIM.Interfaces.Enums.FlashMethod	CoolProp_Incompressibles	18
EV	DWSIM.Interfaces.Enums.FlashMethod	CoolProp_IncompressibleMixtures	19
EV	DWSIM.Interfaces.Enums.FlashMethod	UserDefined	20
EV	DWSIM.Interfaces.Enums.FlashMethod	Gibbs_Minimization_Multiphase	21
EV	DWSIM.Interfaces.Enums.FlashMethod	Universal	22
EV	DWSIM.Interfaces.Enums.FlashMethod	Custom	23
EV	DWSIM.Interfaces.Enums.FlashSetting	PTFlash_External_Loop_Tolerance	0
EV	DWSIM.Interfaces.Enums.FlashSetting	PTFlash_Internal_Loop_Tolerance	1
EV	DWSIM.Interfaces.Enums.FlashSetting	PTFlash_Maximum_Number_Of_External_Iterations	2
EV	DWSIM.Interfaces.Enums.FlashSetting	PTFlash_Maximum_Number_Of_Internal_Iterations	3
EV	DWSIM.Interfaces.Enums.FlashSetting	PHFlash_Internal_Loop_Tolerance	4
EV	DWSIM.Interfaces.Enums.FlashSetting	PHFlash_External_Loop_Tolerance	5
EV	DWSIM.Interfaces.Enums.FlashSetting	PHFlash_Maximum_Number_Of_Internal_Iterations	6
EV	DWSIM.Interfaces.Enums.FlashSetting	PHFlash_Maximum_Number_Of_External_Iterations	7
EV	DWSIM.Interfaces.Enums.FlashSetting	ThreePhaseFlashStabTestSeverity	8
EV	DWSIM.Interfaces.Enums.FlashSetting	ThreePhaseFlashStabTestCompIds	9
EV	DWSIM.Interfaces.Enums.FlashSetting	CalculateBubbleAndDewPoints	10
EV	DWSIM.Interfaces.Enums.FlashSetting	ValidateEquilibriumCalc	11
EV	DWSIM.Interfaces.Enums.FlashSetting	ValidationGibbsTolerance	12
EV	DWSIM.Interfaces.Enums.FlashSetting	UsePhaseIdentificationAlgorithm	13
EV	DWSIM.Interfaces.Enums.FlashSetting	Replace_PTFlash	14
EV	DWSIM.Interfaces.Enums.FlashSetting	GM_OptimizationMethod	15
EV	DWSIM.Interfaces.Enums.FlashSetting	IO_FastMode	16
EV	DWSIM.Interfaces.Enums.FlashSetting	NL_FastMode	17
EV	DWSIM.Interfaces.Enums.FlashSetting	PVFlash_TemperatureDerivativeEpsilon	18
EV	DWSIM.Interfaces.Enums.FlashSetting	PVFlash_MaximumTemperatureChange	19
EV	DWSIM.Interfaces.Enums.FlashSetting	PVFlash_FixedDampingFactor	20
EV	DWSIM.Interfaces.Enums.FlashSetting	ST_Number_of_Random_Tries	21
EV	DWSIM.Interfaces.Enums.FlashSetting	CheckIncipientLiquidForStability	22
EV	DWSIM.Interfaces.Enums.FlashSetting	PHFlash_MaximumTemperatureChange	23
EV	DWSIM.Interfaces.Enums.FlashSetting	PTFlash_DampingFactor	24
EV	DWSIM.Interfaces.Enums.FlashSetting	ForceEquilibriumCalculationType	25
EV	DWSIM.Interfaces.Enums.FlashSetting	ImmiscibleWaterOption	26
EV	DWSIM.Interfaces.Enums.FlashSetting	HandleSolidsInDefaultEqCalcMode	27
EV	DWSIM.Interfaces.Enums.FlashSetting	UseIOFlash	28
EV	DWSIM.Interfaces.Enums.FlashSetting	GibbsMinimizationExternalSolver	29
EV	DWSIM.Interfaces.Enums.FlashSetting	GibbsMinimizationExternalSolverConfigData	30
EV	DWSIM.Interfaces.Enums.FlashSetting	PHFlash_Use_Interpolated_Result_In_Oscillating_Temperature_Cases	31
EV	DWSIM.Interfaces.Enums.FlashSetting	PVFlash_TryIdealCalcOnFailure	32
EV	DWSIM.Interfaces.Enums.FlashSetting	FailSafeCalculationMode	33
EV	DWSIM.Interfaces.Enums.FlashSetting	PVFlash_FivePointStencilNumericalDerivative	34
EV	DWSIM.Interfaces.Enums.FlashCalculationType	PressureTemperature	0
