object_type,clr_property,enum_type,members
OrificePlate,ObjectClass,DWSIM.Interfaces.Enums.SimulationObjectClass,"Streams,PressureChangers,Separators,MixersSplitters,Exchangers,Reactors,Columns,Solids,CAPEOPEN,UserModels,Logical,Other,Indicators,Controllers,Switches,Inputs,None,CleanPowerSources,Electrolyzers"
OrificePlate,OrifType,DWSIM.UnitOperations.UnitOperations.OrificePlate+OrificeType,"CornerTaps,FlangeTaps,RadiusTaps"
OrificePlate,CalculationMethod,DWSIM.UnitOperations.UnitOperations.OrificePlate+CalcMethod,"Homogeneous,Slip"
OrificePlate,DynamicsSpec,DWSIM.Interfaces.Enums.Dynamics+DynamicsSpecType,"Pressure,Flow"
PEMFuelCell,ObjectClass,DWSIM.Interfaces.Enums.SimulationObjectClass,"Streams,PressureChangers,Separators,MixersSplitters,Exchangers,Reactors,Columns,Solids,CAPEOPEN,UserModels,Logical,Other,Indicators,Controllers,Switches,Inputs,None,CleanPowerSources,Electrolyzers"
PEMFuelCell,DynamicsSpec,DWSIM.Interfaces.Enums.Dynamics+DynamicsSpecType,"Pressure,Flow"
Pipe,ObjectClass,DWSIM.Interfaces.Enums.SimulationObjectClass,"Streams,PressureChangers,Separators,MixersSplitters,Exchangers,Reactors,Columns,Solids,CAPEOPEN,UserModels,Logical,Other,Indicators,Controllers,Switches,Inputs,None,CleanPowerSources,Electrolyzers"
Pipe,Specification,DWSIM.UnitOperations.UnitOperations.Pipe+Specmode,"Length,OutletPressure,OutletTemperature"
Pipe,SelectedFlowPackage,DWSIM.UnitOperations.UnitOperations.FlowPackage,"Beggs_Brill,Lockhart_Martinelli,Petalas_Aziz"
Pipe,DynamicsSpec,DWSIM.Interfaces.Enums.Dynamics+DynamicsSpecType,"Pressure,Flow"
Pump,ObjectClass,DWSIM.Interfaces.Enums.SimulationObjectClass,"Streams,PressureChangers,Separators,MixersSplitters,Exchangers,Reactors,Columns,Solids,CAPEOPEN,UserModels,Logical,Other,Indicators,Controllers,Switches,Inputs,None,CleanPowerSources,Electrolyzers"
Pump,CalcMode,DWSIM.UnitOperations.UnitOperations.Pump+CalculationMode,"Delta_P,OutletPressure,EnergyStream,Curves,Power"
Pump,DynamicsSpec,DWSIM.Interfaces.Enums.Dynamics+DynamicsSpecType,"Pressure,Flow"
RCT_CSTR,ObjectClass,DWSIM.Interfaces.Enums.SimulationObjectClass,"Streams,PressureChangers,Separators,MixersSplitters,Exchangers,Reactors,Columns,Solids,CAPEOPEN,UserModels,Logical,Other,Indicators,Controllers,Switches,Inputs,None,CleanPowerSources,Electrolyzers"
RCT_CSTR,ReactorOperationMode,DWSIM.UnitOperations.Reactors.OperationMode,"Isothermic,Adiabatic,OutletTemperature,NonIsothermalNonAdiabatic"
RCT_CSTR,DynamicsSpec,DWSIM.Interfaces.Enums.Dynamics+DynamicsSpecType,"Pressure,Flow"
RCT_Conversion,ObjectClass,DWSIM.Interfaces.Enums.SimulationObjectClass,"Streams,PressureChangers,Separators,MixersSplitters,Exchangers,Reactors,Columns,Solids,CAPEOPEN,UserModels,Logical,Other,Indicators,Controllers,Switches,Inputs,None,CleanPowerSources,Electrolyzers"
RCT_Conversion,ReactorOperationMode,DWSIM.UnitOperations.Reactors.OperationMode,"Isothermic,Adiabatic,OutletTemperature,NonIsothermalNonAdiabatic"
RCT_Conversion,DynamicsSpec,DWSIM.Interfaces.Enums.Dynamics+DynamicsSpecType,"Pressure,Flow"
RCT_Equilibrium,ObjectClass,DWSIM.Interfaces.Enums.SimulationObjectClass,"Streams,PressureChangers,Separators,MixersSplitters,Exchangers,Reactors,Columns,Solids,CAPEOPEN,UserModels,Logical,Other,Indicators,Controllers,Switches,Inputs,None,CleanPowerSources,Electrolyzers"
RCT_Equilibrium,ReactorOperationMode,DWSIM.UnitOperations.Reactors.OperationMode,"Isothermic,Adiabatic,OutletTemperature,NonIsothermalNonAdiabatic"
RCT_Equilibrium,DynamicsSpec,DWSIM.Interfaces.Enums.Dynamics+DynamicsSpecType,"Pressure,Flow"
RCT_Gibbs,ReactivePhaseBehavior,DWSIM.UnitOperations.Reactors.Reactor_Gibbs+ReactivePhaseType,"CalculateEquilibrium,Vapor,Liquid,Solid"
RCT_Gibbs,ObjectClass,DWSIM.Interfaces.Enums.SimulationObjectClass,"Streams,PressureChangers,Separators,MixersSplitters,Exchangers,Reactors,Columns,Solids,CAPEOPEN,UserModels,Logical,Other,Indicators,Controllers,Switches,Inputs,None,CleanPowerSources,Electrolyzers"
RCT_Gibbs,ReactorOperationMode,DWSIM.UnitOperations.Reactors.OperationMode,"Isothermic,Adiabatic,OutletTemperature,NonIsothermalNonAdiabatic"
RCT_Gibbs,DynamicsSpec,DWSIM.Interfaces.Enums.Dynamics+DynamicsSpecType,"Pressure,Flow"
RCT_GibbsReaktoro,ObjectClass,DWSIM.Interfaces.Enums.SimulationObjectClass,"Streams,PressureChangers,Separators,MixersSplitters,Exchangers,Reactors,Columns,Solids,CAPEOPEN,UserModels,Logical,Other,Indicators,Controllers,Switches,Inputs,None,CleanPowerSources,Electrolyzers"
RCT_GibbsReaktoro,ReactorOperationMode,DWSIM.UnitOperations.Reactors.OperationMode,"Isothermic,Adiabatic,OutletTemperature,NonIsothermalNonAdiabatic"
RCT_GibbsReaktoro,DynamicsSpec,DWSIM.Interfaces.Enums.Dynamics+DynamicsSpecType,"Pressure,Flow"
RCT_PFR,ReactorSizingType,DWSIM.UnitOperations.Reactors.Reactor_PFR+SizingType,"Length,Diameter"
RCT_PFR,ObjectClass,DWSIM.Interfaces.Enums.SimulationObjectClass,"Streams,PressureChangers,Separators,MixersSplitters,Exchangers,Reactors,Columns,Solids,CAPEOPEN,UserModels,Logical,Other,Indicators,Controllers,Switches,Inputs,None,CleanPowerSources,Electrolyzers"
RCT_PFR,ReactorOperationMode,DWSIM.UnitOperations.Reactors.OperationMode,"Isothermic,Adiabatic,OutletTemperature,NonIsothermalNonAdiabatic"
RCT_PFR,DynamicsSpec,DWSIM.Interfaces.Enums.Dynamics+DynamicsSpecType,"Pressure,Flow"
ShortcutColumn,ObjectClass,DWSIM.Interfaces.Enums.SimulationObjectClass,"Streams,PressureChangers,Separators,MixersSplitters,Exchangers,Reactors,Columns,Solids,CAPEOPEN,UserModels,Logical,Other,Indicators,Controllers,Switches,Inputs,None,CleanPowerSources,Electrolyzers"
ShortcutColumn,DynamicsSpec,DWSIM.Interfaces.Enums.Dynamics+DynamicsSpecType,"Pressure,Flow"
SolarPanel,ObjectClass,DWSIM.Interfaces.Enums.SimulationObjectClass,"Streams,PressureChangers,Separators,MixersSplitters,Exchangers,Reactors,Columns,Solids,CAPEOPEN,UserModels,Logical,Other,Indicators,Controllers,Switches,Inputs,None,CleanPowerSources,Electrolyzers"
SolarPanel,DynamicsSpec,DWSIM.Interfaces.Enums.Dynamics+DynamicsSpecType,"Pressure,Flow"
SolidSeparator,ObjectClass,DWSIM.Interfaces.Enums.SimulationObjectClass,"Streams,PressureChangers,Separators,MixersSplitters,Exchangers,Reactors,Columns,Solids,CAPEOPEN,UserModels,Logical,Other,Indicators,Controllers,Switches,Inputs,None,CleanPowerSources,Electrolyzers"
SolidSeparator,DynamicsSpec,DWSIM.Interfaces.Enums.Dynamics+DynamicsSpecType,"Pressure,Flow"
