object_type,clr_property,enum_type,members
Expander,CalcMode,DWSIM.UnitOperations.UnitOperations.Expander+CalculationMode,"OutletPressure,Delta_P,PowerGenerated,Head,Curves,PressureRatio"
Expander,ProcessPath,DWSIM.UnitOperations.UnitOperations.Expander+ProcessPathType,"Adiabatic,Polytropic"
Expander,DynamicsSpec,DWSIM.Interfaces.Enums.Dynamics+DynamicsSpecType,"Pressure,Flow"
Filter,ObjectClass,DWSIM.Interfaces.Enums.SimulationObjectClass,"Streams,PressureChangers,Separators,MixersSplitters,Exchangers,Reactors,Columns,Solids,CAPEOPEN,UserModels,Logical,Other,Indicators,Controllers,Switches,Inputs,None,CleanPowerSources,Electrolyzers"
Filter,CalcMode,DWSIM.UnitOperations.UnitOperations.Filter+CalculationMode,"Design,Simulation"
Filter,DynamicsSpec,DWSIM.Interfaces.Enums.Dynamics+DynamicsSpecType,"Pressure,Flow"
FlowsheetUO,ObjectClass,DWSIM.Interfaces.Enums.SimulationObjectClass,"Streams,PressureChangers,Separators,MixersSplitters,Exchangers,Reactors,Columns,Solids,CAPEOPEN,UserModels,Logical,Other,Indicators,Controllers,Switches,Inputs,None,CleanPowerSources,Electrolyzers"
FlowsheetUO,MassTransferMode,DWSIM.UnitOperations.UnitOperations.Auxiliary.FlowsheetUOMassTransferMode,"CompoundMassFlows,CompoundMoleFlows,CompoundMassFractions,CompoundMoleFractions"
FlowsheetUO,DynamicsSpec,DWSIM.Interfaces.Enums.Dynamics+DynamicsSpecType,"Pressure,Flow"
HeatExchanger,ObjectClass,DWSIM.Interfaces.Enums.SimulationObjectClass,"Streams,PressureChangers,Separators,MixersSplitters,Exchangers,Reactors,Columns,Solids,CAPEOPEN,UserModels,Logical,Other,Indicators,Controllers,Switches,Inputs,None,CleanPowerSources,Electrolyzers"
HeatExchanger,FlowDir,DWSIM.UnitOperations.UnitOperations.FlowDirection,"CounterCurrent,CoCurrent"
HeatExchanger,DefinedTemperature,DWSIM.UnitOperations.UnitOperations.SpecifiedTemperature,"Hot_Fluid,Cold_Fluid"
HeatExchanger,CalculationMode,DWSIM.UnitOperations.UnitOperations.HeatExchangerCalcMode,"CalcTempHotOut,CalcTempColdOut,CalcBothTemp,CalcBothTemp_UA,CalcArea,ShellandTube_Rating,ShellandTube_CalcFoulingFactor,PinchPoint,ThermalEfficiency,OutletVaporFraction1,OutletVaporFraction2"
HeatExchanger,DynamicsSpec,DWSIM.Interfaces.Enums.Dynamics+DynamicsSpecType,"Pressure,Flow"
Heater,ObjectClass,DWSIM.Interfaces.Enums.SimulationObjectClass,"Streams,PressureChangers,Separators,MixersSplitters,Exchangers,Reactors,Columns,Solids,CAPEOPEN,UserModels,Logical,Other,Indicators,Controllers,Switches,Inputs,None,CleanPowerSources,Electrolyzers"
Heater,CalcMode,DWSIM.UnitOperations.UnitOperations.Heater+CalculationMode,"HeatAdded,OutletTemperature,EnergyStream,OutletVaporFraction,TemperatureChange,HeatAddedRemoved"
